date,open,high,low,close,C-O,volume,SMA7,profit or not
"27,12,2021",176.3557,179.677,176.3408,179.5874,3.2317,73003211,173.3389143,0
"28,12,2021",179.4181,180.5833,177.7948,178.5517,-0.8664,76892695,174.3390714,1
"29,12,2021",178.5915,179.8861,177.4064,178.6413,0.0498,61073305,175.5113714,0
"30,12,2021",178.7309,179.8264,177.3566,177.4661,-1.2648,59354351,176.7135429,1
"31,12,2021",177.3516,178.4919,176.53,176.8387,-0.5129,61661433,177.3651286,1
"3,1,2022",177.0977,182.1269,176.9782,181.2605,4.1628,96490749,178.2713857,0
"4,1,2022",181.8779,182.1866,178.3824,178.96,-2.9179,92663116,178.7579571,1
"5,1,2022",178.8703,179.428,173.9208,174.1996,-4.6707,94031550,177.9882714,1
"6,1,2022",171.9888,174.5781,170.9332,171.2917,-0.6971,95415144,176.9511286,1
"7,1,2022",172.178,173.4229,170.3257,171.461,-0.717,85034450,175.9253714,1
"10,1,2022",168.3837,171.7896,167.4774,171.4809,3.0972,103822290,175.0703429,0
"11,1,2022",171.6104,174.4586,170.1165,174.359,2.7486,75937685,174.7161,0
"12,1,2022",175.3947,176.4503,174.1001,174.8071,-0.5876,72793796,173.7941857,1
"13,01,2022",175.0561,175.8926,171.0825,171.4809,-3.5752,82273231,172.7257429,1
"14,01,2022",170.6344,173.0643,170.3854,172.3573,1.7229,80440780,172.4625571,0
"18,01,2022",170.8037,171.8295,168.7074,169.1007,-1.703,90500236,172.1495571,1
"19,01,2022",169.2999,170.3755,165.2566,165.5454,-3.7545,92914792,171.3044714,1
"20,01,2022",166.2923,168.9812,163.5039,163.8325,-2.4598,91673327,170.2118429,1
"21,01,2022",163.7379,165.645,161.6316,161.7412,-1.9967,121664716,168.4093,1
"24,01,2022",159.361,161.6316,154.0629,160.9544,1.5934,161418376,166.4303429,0
"25,01,2022",158.3253,162.0897,156.3734,159.122,0.7967,112684500,164.6647857,0
"26,01,2022",162.8267,163.7124,157.1701,159.0324,-3.7943,107673206,162.7612286,1
"27,01,2022",161.781,163.1653,157.6282,158.5643,-3.2167,108389363,161.2560286,1
"28,01,2022",165.0276,169.6485,162.1296,169.6286,4.601,175205170,161.8393429,0
"31,01,2022",169.4593,174.2793,168.8119,174.0602,4.6009,114773499,163.3004429,0
"1,2,2022",173.2934,174.12,171.6004,173.8909,0.5975,85300875,165.0361143,0
"2,2,2022",174.0254,175.1557,172.6162,175.1159,1.0905,76403783,167.0591857,0
